level,algorithm,median_kb,min_kb,max_kb,range_kb
Stage 01,BFS,34.390625,34.390625,34.757812,0.367188
Stage 01,IDS,18.474609,18.474609,18.521484,0.046875
Stage 01,UCS,27.880859,27.880859,27.927734,0.046875
Stage 01,A*,20.992188,20.992188,21.039062,0.046875
Stage 02,BFS,16.498047,16.498047,16.498047,0.000000
Stage 02,IDS,12.841797,12.841797,12.841797,0.000000
Stage 02,UCS,14.802734,14.802734,14.802734,0.000000
Stage 02,A*,14.328125,14.328125,14.328125,0.000000
Stage 03,BFS,26.201172,26.201172,26.201172,0.000000
Stage 03,IDS,20.068359,20.068359,20.068359,0.000000
Stage 03,UCS,24.974609,24.974609,24.974609,0.000000
Stage 03,A*,25.060547,25.060547,25.060547,0.000000
Stage 04,BFS,141.843750,141.843750,141.843750,0.000000
Stage 04,IDS,82.701172,82.701172,82.701172,0.000000
Stage 04,UCS,112.216797,112.216797,112.216797,0.000000
Stage 04,A*,99.239258,99.239258,99.239258,0.000000
Stage 05,BFS,147.168945,147.168945,147.168945,0.000000
Stage 05,IDS,95.052734,95.052734,95.052734,0.000000
Stage 05,UCS,119.090820,119.090820,119.090820,0.000000
Stage 05,A*,109.912109,109.912109,109.912109,0.000000
Stage 06,BFS,26.052734,26.052734,26.052734,0.000000
Stage 06,IDS,20.623047,20.623047,20.623047,0.000000
Stage 06,UCS,24.294922,24.294922,24.294922,0.000000
Stage 06,A*,23.287109,23.287109,23.287109,0.000000
Stage 07,BFS,310.763672,310.763672,310.810547,0.046875
Stage 07,IDS,189.209961,189.209961,189.209961,0.000000
Stage 07,UCS,371.591797,371.591797,371.591797,0.000000
Stage 07,A*,375.770508,375.770508,375.770508,0.000000
Stage 08,BFS,4489.906250,4489.906250,4489.906250,0.000000
Stage 08,IDS,3375.646484,3375.646484,3375.646484,0.000000
Stage 08,UCS,4646.029297,4646.029297,4646.029297,0.000000
Stage 08,A*,3876.218750,3876.218750,3876.218750,0.000000
Stage 09,BFS,28.786133,28.786133,28.786133,0.000000
Stage 09,IDS,21.864258,21.864258,21.864258,0.000000
Stage 09,UCS,26.997070,26.997070,26.997070,0.000000
Stage 09,A*,25.341797,25.341797,25.341797,0.000000
Stage 10,BFS,316.731445,316.731445,316.731445,0.000000
Stage 10,IDS,248.781250,248.781250,248.781250,0.000000
Stage 10,UCS,321.481445,321.481445,321.481445,0.000000
Stage 10,A*,305.818359,305.818359,305.818359,0.000000
