level,BFS,IDS,UCS,A*
Stage 01,34.390625,18.474609,27.880859,20.992188
Stage 02,16.498047,12.841797,14.802734,14.328125
Stage 03,26.201172,20.068359,24.974609,25.060547
Stage 04,141.843750,82.701172,112.216797,99.239258
Stage 05,147.168945,95.052734,119.090820,109.912109
Stage 06,26.052734,20.623047,24.294922,23.287109
Stage 07,310.763672,189.209961,371.591797,375.770508
Stage 08,4489.906250,3375.646484,4646.029297,3876.218750
Stage 09,28.786133,21.864258,26.997070,25.341797
Stage 10,316.731445,248.781250,321.481445,305.818359
